SpinCore CPMG NMR\NQR Experiment
Spectrometer Frequency (MHz): 29.9016
Spectral Width (kHz): 100.0
Number of Acquisition Points: 12114.0
90 Degree Pulse-Width (us): 1.5
90 Degree Pulse Phase (Degrees): 0.00
Transient Delay (us): 15.00
Tau (ms): 1.00
Points Per Echo: 0.0
Number of Echoes: 60.0
Repetition Delay (s): 
Number of Scans: 100.0
ADC Clock Frequency (MHz): 75.00
Blanking Bit: 2.0
Deblank Delay: 3000.00
Output Amplitude Scaling: 1.00
Bypass FIR: Yes
 
Time (s), Magnitude Data
0.0000100, 512994.9052466
0.0000200, 3783895.9827269
0.0000300, 4902333.6627905
0.0000400, 3868558.0770056
0.0000500, 3041052.2565857
0.0000600, 2563779.3566189
0.0000700, 2125536.5939682
0.0000800, 1870823.9726187
0.0000900, 1679418.1509463
0.0001000, 1471863.7208482
0.0001100, 1298774.7051248
0.0001200, 1146365.9470697
0.0001300, 1007038.2834476
0.0001400, 877218.0977779
0.0001500, 810606.1958343
0.0001600, 717945.7737803
0.0001700, 673279.9458442
0.0001800, 552666.9596647
0.0001900, 533847.2487163
0.0002000, 494563.9883150
0.0002100, 485080.1813154
0.0002200, 442269.4627148
0.0002300, 423887.8097445
0.0002400, 393965.2819881
0.0002500, 361447.1225629
0.0002600, 411265.4361091
0.0002700, 328175.5211011
0.0002800, 389878.9509809
0.0002900, 325451.5168347
0.0003000, 347580.6152276
0.0003100, 326720.3747993
0.0003200, 278274.2283504
0.0003300, 331459.2539061
0.0003400, 269574.9100436
0.0003500, 298093.9818413
0.0003600, 248118.3789283
0.0003700, 243982.1146601
0.0003800, 264622.4258316
0.0003900, 225331.8454214
0.0004000, 230977.2971203
0.0004100, 205315.2335434
0.0004200, 174297.4538340
0.0004300, 190271.3581310
0.0004400, 163911.4540873
0.0004500, 180121.7592908
0.0004600, 143697.0733488
0.0004700, 164280.3652601
0.0004800, 133641.9216339
0.0004900, 144457.1663297
0.0005000, 123122.1020004
0.0005100, 120100.3092919
0.0005200, 116737.6167180
0.0005300, 129753.9827867
0.0005400, 94653.5037281
0.0005500, 110901.0798730
0.0005600, 84995.8845886
0.0005700, 94775.4283398
0.0005800, 93063.1933688
0.0005900, 119262.1396756
0.0006000, 98308.8106835
0.0006100, 59269.1061684
0.0006200, 99431.5058420
0.0006300, 104076.2027074
0.0006400, 100139.8581235
0.0006500, 77515.0362833
0.0006600, 85849.9629412
0.0006700, 102349.2905740
0.0006800, 113624.0145920
0.0006900, 69945.9414405
0.0007000, 83739.4363786
0.0007100, 105010.3340105
0.0007200, 76634.0349062
0.0007300, 92923.4352464
0.0007400, 121131.2248142
0.0007500, 80280.0012207
0.0007600, 98248.1008264
0.0007700, 79012.1073570
0.0007800, 105379.0877024
0.0007900, 67996.1178009
0.0008000, 85230.8284601
0.0008100, 93388.2066751
0.0008200, 83568.8943687
0.0008300, 60058.6130376
0.0008400, 104168.5132130
0.0008500, 82129.9166991
0.0008600, 66897.2643761
0.0008700, 98989.0255786
0.0008800, 62971.3887809
0.0008900, 70882.0935145
0.0009000, 85093.4979008
0.0009100, 64986.3145978
0.0009200, 78511.2243249
0.0009300, 79402.7922053
0.0009400, 80338.7386632
0.0009500, 55945.3665284
0.0009600, 76076.5245394
0.0009700, 53934.6394259
0.0009800, 75383.2316699
0.0009900, 59997.5264907
0.0010000, 54529.5147328
0.0010100, 15434725.8755889
0.0010200, 391169.1802021
0.0010300, 222724.2621808
0.0010400, 1052338.7952998
0.0010500, 2335896.9556950
0.0010600, 2156375.1693685
0.0010700, 1949908.4606053
0.0010800, 1769682.4382951
0.0010900, 1563786.8745184
0.0011000, 1318237.6353427
0.0011100, 1130298.3985090
0.0011200, 934400.1733529
0.0011300, 785402.0155443
0.0011400, 657670.7568807
0.0011500, 615581.5150287
0.0011600, 529450.4519037
0.0011700, 487891.5492545
0.0011800, 376729.5348828
0.0011900, 355765.8437400
0.0012000, 311192.7482590
0.0012100, 288157.4797815
0.0012200, 289314.8208872
0.0012300, 240478.9471867
0.0012400, 253782.2496709
0.0012500, 207489.2717516
0.0012600, 221351.2689370
0.0012700, 223921.1376199
0.0012800, 215754.5189562
0.0012900, 204375.1882446
0.0013000, 218556.8771785
0.0013100, 192297.9797736
0.0013200, 206164.4245281
0.0013300, 207553.2113941
0.0013400, 186575.4341225
0.0013500, 215234.6672820
0.0013600, 186417.7650118
0.0013700, 185480.6072235
0.0013800, 172413.6153353
0.0013900, 173958.3915538
0.0014000, 161978.0869933
0.0014100, 179679.9865372
0.0014200, 160179.2922852
0.0014300, 156045.9700729
0.0014400, 131201.3490670
0.0014500, 159037.4419343
0.0014600, 136751.7965696
0.0014700, 155910.3885249
0.0014800, 136290.6126811
0.0014900, 136504.8872751
0.0015000, 141288.9804231
0.0015100, 153695.4621744
0.0015200, 117464.5690623
0.0015300, 160239.3969097
0.0015400, 130421.5453520
0.0015500, 148755.5929201
0.0015600, 175149.4052973
0.0015700, 145986.4774183
0.0015800, 141579.8457161
0.0015900, 200611.8450441
0.0016000, 144281.9298630
0.0016100, 195664.6066564
0.0016200, 192721.5416216
0.0016300, 203760.8240487
0.0016400, 192798.0725889
0.0016500, 208795.5016565
0.0016600, 223067.8767730
0.0016700, 220206.8058576
0.0016800, 235067.0842334
0.0016900, 223182.2850407
0.0017000, 238647.1495954
0.0017100, 277394.8425224
0.0017200, 228744.1082542
0.0017300, 279817.5562916
0.0017400, 262414.2439503
0.0017500, 266477.7691985
0.0017600, 284420.7559831
0.0017700, 248190.6671110
0.0017800, 316310.1547105
0.0017900, 269930.2036101
0.0018000, 321237.6410230
0.0018100, 342222.7734693
0.0018200, 354640.2968756
0.0018300, 369056.0561270
0.0018400, 457818.2196921
0.0018500, 464436.8149167
0.0018600, 522123.3916853
0.0018700, 567523.6843199
0.0018800, 655789.8156239
0.0018900, 724684.0663600
0.0019000, 833797.5694136
0.0019100, 926110.4702248
0.0019200, 1032697.6065945
0.0019300, 1187456.6995423
0.0019400, 1358582.5397248
0.0019500, 1593590.5595560
0.0019600, 2017799.2832609
0.0019700, 2500411.3422245
0.0019800, 3092908.7291521
0.0019900, 3796554.2367654
0.0020000, 4480133.4832861
0.0020100, 4924056.1606515
0.0020200, 5185212.1180280
0.0020300, 5050085.8433461
0.0020400, 4615606.1898095
0.0020500, 4022157.6714458
0.0020600, 3338420.3351217
0.0020700, 2630835.7370729
0.0020800, 2121558.2022384
0.0020900, 1683434.8400868
0.0021000, 1451987.4838872
0.0021100, 1248341.4674335
0.0021200, 1128907.9858983
0.0021300, 1023468.6444621
0.0021400, 887185.7296237
0.0021500, 818240.9203761
0.0021600, 720491.0002332
0.0021700, 654362.0024826
0.0021800, 574228.6726262
0.0021900, 535815.1383640
0.0022000, 479255.2435290
0.0022100, 452417.6536896
0.0022200, 377633.3992035
0.0022300, 393738.0036522
0.0022400, 338126.3761451
0.0022500, 308731.0622791
0.0022600, 332000.5959332
0.0022700, 297640.0062156
0.0022800, 291388.4760144
0.0022900, 288680.0565505
0.0023000, 287481.1769925
0.0023100, 236727.7569615
0.0023200, 234573.1693630
0.0023300, 259275.0544287
0.0023400, 263622.7662134
0.0023500, 214876.0400277
0.0023600, 258223.7876668
0.0023700, 226271.2027281
0.0023800, 174661.8423268
0.0023900, 237909.8847736
0.0024000, 198183.1062931
0.0024100, 171585.1057930
0.0024200, 199305.5126307
0.0024300, 138112.8174392
0.0024400, 192176.0662752
0.0024500, 147915.1497075
0.0024600, 145902.5247246
0.0024700, 138528.6214650
0.0024800, 134193.2964198
0.0024900, 120081.4601593
0.0025000, 144886.7096217
0.0025100, 95241.6113366
0.0025200, 138646.1421100
0.0025300, 102826.8755579
0.0025400, 112695.0057855
0.0025500, 97906.3273594
0.0025600, 94474.0994400
0.0025700, 85666.1192596
0.0025800, 98133.2159312
0.0025900, 75728.1457055
0.0026000, 106217.2628719
0.0026100, 48030.3014773
0.0026200, 68545.3324450
0.0026300, 80290.6194085
0.0026400, 61701.7507207
0.0026500, 69499.1970961
0.0026600, 83148.5751231
0.0026700, 58691.4915554
0.0026800, 64565.7583941
0.0026900, 65954.6542482
0.0027000, 60142.3001639
0.0027100, 47366.8338925
0.0027200, 56952.6753103
0.0027300, 85773.8007844
0.0027400, 35375.0927349
0.0027500, 67475.0357466
0.0027600, 32380.5284855
0.0027700, 81300.7922040
0.0027800, 40139.9889512
0.0027900, 44305.3055627
0.0028000, 87958.6545827
0.0028100, 67159.9613609
0.0028200, 32478.6804073
0.0028300, 32823.9407750
0.0028400, 68774.2266405
0.0028500, 46351.6008030
0.0028600, 40644.9076392
0.0028700, 61497.4748262
0.0028800, 60683.7033148
0.0028900, 43324.9316330
0.0029000, 43252.3355439
0.0029100, 66327.9254915
0.0029200, 54462.8031320
0.0029300, 61018.4241029
0.0029400, 52496.5472484
0.0029500, 53403.1618259
0.0029600, 36065.2522659
0.0029700, 47961.8309909
0.0029800, 51570.4851441
0.0029900, 50719.4706005
0.0030000, 66813.0330100
0.0030100, 13401382.0851581
0.0030200, 733900.1043037
0.0030300, 277337.3952589
0.0030400, 377631.2958231
0.0030500, 1138254.6907859
0.0030600, 1085410.7259876
