Tau	Integrated FID FFT Signal
ms	
1	18114561.8
1.5	10927020
2	8391952.79
1.8	9232768.24
1.3	11963542.27
1.2	19331623.76
1.1	14983883.04
1.05	14276531.72
1.01	19233746.86
1.03	16208186.89
1.6	10175529.42
2.4	6720927.77
2.8	5123963.23
1.4	11345184.17
1.04	14649580.26
1.02	18086308.03
1.7	9917044.61
1.9	8988505.62
3.5	3203347.19
4.5	3943131.14
4.9	5026765.92
4	3053274.87
3.1	4177324.2
2.2	7677274.92
3.75	2848086.49
5.2	5679077.07
6.7	9156171.04
12	16301431
6	7652615.84
7.5	10566970.98
8.75	12629059.58
10	14404761.34
