Time	Spin Echo Peak
ms	
14.04	3723332.36245
18.03	3659236.02036
22.01	3518384.05705
26.03	3476499.51516
30.03	3358950.77675
34.04	3284974.54186
38.03	3226184.51505
42.06	3130391.65617
46.06	3045710.78582
50.05	2970779.3292
54.06	2918428.89786
58.05	2826610.97372
62.06	2763421.76151
66.07	2691885.08621
70.07	2658675.65946
74.07	2565044.17988
78.08	2492520.68765
82.08	2412249.43857
86.07	2378809.70058
52.06	2936255.65967
48.05	3051202.73012
46.06	3045710.78582
54.06	2918428.89786
