SpinCore Two Pulse NMR & NQR Experiment
RadioProcessor Board Selected: 0.0
Blanking Bit: 2.0
Number of Scans: 100.0
Blanking Delay (ms): 3.0
Transient Delay (us): 15.0
Repetition Delay (s): 0.5
DEBUG: No
Bypass FIR: Yes
ADC Frequency (MHz): 75.0
Spectrometer Frequency (MHz): 29.8998
Spectral Width (kHz): 300.00
Output Amplitude: 1.0
First Pulse-Width (us): 2.4
Relative Phase: 0.0
Second Pulse-Width (us): 1.5
Tau (ms): 5.0
Number of Points: 4096.0
 
Time (ms), Real Data, Imaginary Data
0.0033, -470289.0000, 139957.0000
0.0067, -166079.0000, 512255.0000
0.0100, 102665.0000, -5491.0000
0.0133, 522611.0000, 1120078.0000
0.0167, 2932508.0000, -142575.0000
0.0200, 3888707.0000, 2206925.0000
0.0233, 2040665.0000, 971546.0000
0.0267, 3252439.0000, 480541.0000
0.0300, 3024803.0000, 865900.0000
0.0333, 2947765.0000, 603757.0000
0.0367, 2824012.0000, 650676.0000
0.0400, 2541639.0000, 192665.0000
0.0433, 2746524.0000, 316269.0000
0.0467, 2481874.0000, 258385.0000
0.0500, 2461337.0000, 226429.0000
0.0533, 2357596.0000, 198263.0000
0.0567, 2263892.0000, 175745.0000
0.0600, 2170243.0000, 68208.0000
0.0633, 1906450.0000, 29208.0000
0.0667, 1884762.0000, -63912.0000
0.0700, 1797820.0000, -34543.0000
0.0733, 1671441.0000, -18214.0000
0.0767, 1625513.0000, -98836.0000
0.0800, 1559973.0000, -6414.0000
0.0833, 1360161.0000, -13842.0000
0.0867, 1406775.0000, -69115.0000
0.0900, 1333111.0000, -59647.0000
0.0933, 1204143.0000, -33961.0000
0.0967, 1236517.0000, -41311.0000
0.1000, 1198712.0000, 18106.0000
0.1033, 1063991.0000, -7244.0000
0.1067, 1073051.0000, -82423.0000
0.1100, 1068904.0000, -21233.0000
0.1133, 925142.0000, -815.0000
0.1167, 975203.0000, -53169.0000
0.1200, 949569.0000, -9912.0000
0.1233, 795123.0000, -58221.0000
0.1267, 859331.0000, -87177.0000
0.1300, 836951.0000, -17286.0000
0.1333, 704331.0000, -31868.0000
0.1367, 756152.0000, -86862.0000
0.1400, 709419.0000, -45717.0000
0.1433, 605559.0000, -52030.0000
0.1467, 662619.0000, -80830.0000
0.1500, 648404.0000, -28298.0000
0.1533, 531768.0000, -47244.0000
0.1567, 573982.0000, -89493.0000
0.1600, 570350.0000, -30656.0000
0.1633, 471625.0000, -38723.0000
0.1667, 532141.0000, -75459.0000
0.1700, 507577.0000, -30956.0000
0.1733, 414807.0000, -48435.0000
0.1767, 478564.0000, -82560.0000
0.1800, 477794.0000, -26904.0000
0.1833, 372433.0000, -51244.0000
0.1867, 435948.0000, -78811.0000
0.1900, 431928.0000, -30335.0000
0.1933, 344021.0000, -54334.0000
0.1967, 393717.0000, -70697.0000
0.2000, 404103.0000, -28028.0000
0.2033, 315068.0000, -47616.0000
0.2067, 371538.0000, -74139.0000
0.2100, 367099.0000, -15437.0000
0.2133, 287276.0000, -40705.0000
0.2167, 348630.0000, -59173.0000
0.2200, 353993.0000, -7661.0000
0.2233, 269482.0000, -25743.0000
0.2267, 331687.0000, -47460.0000
0.2300, 340149.0000, 4553.0000
0.2333, 249625.0000, -25318.0000
0.2367, 318812.0000, -33434.0000
0.2400, 320470.0000, 8722.0000
0.2433, 249043.0000, -7581.0000
0.2467, 304989.0000, -29032.0000
0.2500, 316071.0000, 18511.0000
0.2533, 233818.0000, -1719.0000
0.2567, 297253.0000, -13524.0000
0.2600, 307994.0000, 30070.0000
0.2633, 222540.0000, 5910.0000
0.2667, 285074.0000, -4485.0000
0.2700, 294619.0000, 43741.0000
0.2733, 220070.0000, 17656.0000
0.2767, 280170.0000, 2729.0000
0.2800, 291134.0000, 56393.0000
0.2833, 218718.0000, 23572.0000
0.2867, 275849.0000, 14177.0000
0.2900, 281686.0000, 68449.0000
0.2933, 214277.0000, 26556.0000
0.2967, 271007.0000, 23290.0000
0.3000, 268118.0000, 68627.0000
0.3033, 209680.0000, 38118.0000
0.3067, 263047.0000, 27986.0000
0.3100, 265903.0000, 75115.0000
