SpinCore Single Pulse NMR & NQR Experiment
ADC Frequency (MHz): 75.00
Blanking Bit: 2.0
Blanking Delay (ms): 3.000
Amplitude: 1.00
Spectrometer Frequency (MHz): 29.9015
Spectral Width (kHz): 3000.00
Number of Scans: 
Pulse-Width (us): 1.5
Pulse Phase (Degrees): 0.00
Transient Delay (us): 20.0
Repetition Delay (s): 0.1
Number of Acquisition Points: 16384.0
BYPASS FIR: YES
Shape: Hard
CYCLOPS: Yes
 
Frequency (kHz), Power Spectral Density Data
-1500.0000, 27286.3276
-1499.8169, 62837.6084
-1499.6338, 34134.5997
-1499.4507, 29259.1435
-1499.2676, 15836.6470
-1499.0845, 73065.2804
-1498.9014, 21898.8319
-1498.7183, 50162.3174
-1498.5352, 69167.9870
-1498.3521, 71369.4116
-1498.1689, 15878.1752
-1497.9858, 44574.1780
-1497.8027, 14899.9058
-1497.6196, 18913.6892
-1497.4365, 62761.4250
-1497.2534, 47310.2640
-1497.0703, 54405.2503
-1496.8872, 23048.0012
-1496.7041, 35613.1944
-1496.5210, 29816.6763
-1496.3379, 36936.9613
-1496.1548, 38624.6109
-1495.9717, 54425.2729
-1495.7886, 60066.9106
-1495.6055, 9368.7446
-1495.4224, 69518.0317
-1495.2393, 101369.7961
-1495.0562, 27801.6451
-1494.8730, 27761.2279
-1494.6899, 83489.5236
-1494.5068, 78537.7593
-1494.3237, 22067.9919
-1494.1406, 14235.0843
-1493.9575, 86342.9844
-1493.7744, 9118.3973
-1493.5913, 56512.1999
-1493.4082, 42219.8548
-1493.2251, 56509.7200
-1493.0420, 53782.8502
-1492.8589, 10505.1413
-1492.6758, 29832.2407
-1492.4927, 24585.2426
-1492.3096, 52676.1677
-1492.1265, 56139.6326
-1491.9434, 40914.0449
-1491.7603, 69840.7123
-1491.5771, 91263.7599
-1491.3940, 55619.9090
-1491.2109, 24283.2481
-1491.0278, 64720.4200
-1490.8447, 46385.8873
-1490.6616, 26381.9350
-1490.4785, 48083.2325
-1490.2954, 52068.6553
-1490.1123, 15689.0984
-1489.9292, 33404.1723
-1489.7461, 12251.5045
-1489.5630, 36291.5566
-1489.3799, 41049.4192
-1489.1968, 5515.4569
-1489.0137, 40180.0643
-1488.8306, 34167.1246
-1488.6475, 50356.6829
-1488.4644, 71536.0409
-1488.2812, 21548.8435
-1488.0981, 82882.4472
-1487.9150, 51107.7389
-1487.7319, 3967.7834
-1487.5488, 56231.2806
-1487.3657, 114511.2510
-1487.1826, 19887.5697
-1486.9995, 23005.0038
-1486.8164, 13400.5255
-1486.6333, 60507.6417
-1486.4502, 6160.1966
-1486.2671, 33128.7220
-1486.0840, 20029.4410
-1485.9009, 37619.7877
-1485.7178, 43881.6758
-1485.5347, 78056.9867
-1485.3516, 82046.6224
-1485.1685, 49253.0954
-1484.9854, 72017.7455
-1484.8022, 84748.0612
-1484.6191, 107573.1745
-1484.4360, 11623.4527
-1484.2529, 15675.6323
-1484.0698, 40525.7143
-1483.8867, 23817.8781
-1483.7036, 29291.2139
-1483.5205, 58404.3248
-1483.3374, 61802.0122
-1483.1543, 60755.1552
-1482.9712, 43803.7824
-1482.7881, 65275.3320
-1482.6050, 68300.6635
-1482.4219, 68003.0549
-1482.2388, 28368.9107
-1482.0557, 20085.4787
-1481.8726, 74174.4508
-1481.6895, 69734.3137
-1481.5063, 44418.3530
-1481.3232, 21582.4137
-1481.1401, 79274.1042
-1480.9570, 80718.6765
-1480.7739, 39002.7508
-1480.5908, 60980.9305
-1480.4077, 24684.8246
-1480.2246, 42262.2649
-1480.0415, 43443.7915
-1479.8584, 15030.8469
-1479.6753, 12595.3227
-1479.4922, 66578.8037
-1479.3091, 29438.8759
-1479.1260, 30210.6653
-1478.9429, 45929.1842
-1478.7598, 120188.6536
-1478.5767, 25722.0951
-1478.3936, 27450.4920
-1478.2104, 66433.5655
-1478.0273, 34200.1953
-1477.8442, 68901.5525
-1477.6611, 50728.3849
-1477.4780, 41982.5333
-1477.2949, 39211.8301
-1477.1118, 35116.9380
-1476.9287, 100339.0145
-1476.7456, 24945.5513
-1476.5625, 20466.7004
-1476.3794, 73992.9422
-1476.1963, 28314.8425
-1476.0132, 81106.2681
-1475.8301, 84722.4546
-1475.6470, 9829.2336
-1475.4639, 57786.7920
-1475.2808, 46978.2178
-1475.0977, 21381.4349
-1474.9146, 35906.3985
-1474.7314, 29669.0163
-1474.5483, 69216.7875
-1474.3652, 31219.2099
-1474.1821, 24063.6128
-1473.9990, 67122.7049
-1473.8159, 67923.6407
-1473.6328, 34031.0240
-1473.4497, 50836.7300
-1473.2666, 76850.5307
-1473.0835, 52339.5886
-1472.9004, 17467.7529
-1472.7173, 25861.3215
-1472.5342, 36388.2204
-1472.3511, 87940.6263
-1472.1680, 24981.0831
-1471.9849, 32877.2861
-1471.8018, 65290.9389
-1471.6187, 59769.5481
-1471.4355, 33502.0405
-1471.2524, 78175.7535
-1471.0693, 45544.1864
-1470.8862, 89859.9901
-1470.7031, 8951.5538
-1470.5200, 31080.1114
-1470.3369, 27392.7140
-1470.1538, 73184.5593
-1469.9707, 129343.9073
-1469.7876, 17925.2518
-1469.6045, 27079.8416
-1469.4214, 88508.3502
-1469.2383, 72585.3457
-1469.0552, 72155.6927
-1468.8721, 52061.2327
-1468.6890, 71973.5031
-1468.5059, 9965.1550
-1468.3228, 58901.4800
-1468.1396, 49266.2724
-1467.9565, 53710.0116
-1467.7734, 26285.7508
-1467.5903, 45052.5056
-1467.4072, 40927.9051
-1467.2241, 38989.3778
-1467.0410, 65916.4638
-1466.8579, 25212.2175
-1466.6748, 33109.1111
-1466.4917, 46297.6709
-1466.3086, 61493.4430
-1466.1255, 84466.5267
-1465.9424, 58429.9294
-1465.7593, 41709.1151
-1465.5762, 58057.7330
-1465.3931, 42727.9055
-1465.2100, 37497.3601
-1465.0269, 26468.3050
-1464.8438, 16620.8248
-1464.6606, 36995.2200
-1464.4775, 47359.0642
-1464.2944, 104236.0917
-1464.1113, 4179.3890
-1463.9282, 50788.4514
-1463.7451, 95437.6362
-1463.5620, 78912.1635
-1463.3789, 52572.3568
-1463.1958, 57574.0009
-1463.0127, 56838.7807
-1462.8296, 46038.5106
-1462.6465, 25204.7699
-1462.4634, 57093.2922
-1462.2803, 64337.0353
-1462.0972, 28440.5456
-1461.9141, 64199.5604
-1461.7310, 64261.8939
-1461.5479, 87220.0970
-1461.3647, 55548.5074
-1461.1816, 35212.8795
-1460.9985, 87668.2316
-1460.8154, 32455.7149
-1460.6323, 45100.9927
-1460.4492, 29501.8318
-1460.2661, 34745.8114
-1460.0830, 27291.8035
-1459.8999, 51617.4008
-1459.7168, 48939.2151
-1459.5337, 43718.3995
-1459.3506, 69695.4246
-1459.1675, 71950.5961
-1458.9844, 24748.8374
-1458.8013, 73591.5311
-1458.6182, 55231.9590
-1458.4351, 53021.9715
-1458.2520, 39169.2317
-1458.0688, 49461.7530
-1457.8857, 57630.2836
-1457.7026, 10544.1655
-1457.5195, 3936.4187
-1457.3364, 15429.3677
-1457.1533, 37527.7436
-1456.9702, 49717.8072
-1456.7871, 68793.3282
-1456.6040, 32127.6350
-1456.4209, 83798.6448
-1456.2378, 23288.7144
-1456.0547, 45010.2671
-1455.8716, 65355.0090
-1455.6885, 84386.6195
-1455.5054, 13284.6439
-1455.3223, 106149.7696
-1455.1392, 49851.7785
-1454.9561, 45438.3832
-1454.7729, 58465.1322
-1454.5898, 94670.0833
-1454.4067, 80856.7433
-1454.2236, 42646.2116
-1454.0405, 21476.0079
-1453.8574, 49127.0605
-1453.6743, 28683.7603
-1453.4912, 68419.6739
-1453.3081, 50012.2959
-1453.1250, 31922.7070
-1452.9419, 26855.3541
-1452.7588, 14904.8004
-1452.5757, 25157.0148
-1452.3926, 83363.4128
-1452.2095, 30568.7453
-1452.0264, 54778.2659
-1451.8433, 11000.6344
-1451.6602, 45147.3137
-1451.4771, 6866.1559
-1451.2939, 12858.1555
-1451.1108, 58618.2716
-1450.9277, 83028.8464
-1450.7446, 46093.3638
-1450.5615, 41483.1154
-1450.3784, 61795.7294
-1450.1953, 56895.0685
-1450.0122, 30821.1753
-1449.8291, 71217.4384
-1449.6460, 55050.0706
-1449.4629, 75930.5179
-1449.2798, 51855.7776
-1449.0967, 108685.6180
-1448.9136, 47780.3016
-1448.7305, 47183.6025
-1448.5474, 25227.2663
-1448.3643, 62273.3023
-1448.1812, 53721.4781
-1447.9980, 25039.3035
-1447.8149, 29764.1234
-1447.6318, 55679.1284
-1447.4487, 26351.0169
-1447.2656, 37689.2572
-1447.0825, 67571.8413
-1446.8994, 91704.3005
-1446.7163, 44147.7578
-1446.5332, 60236.7801
-1446.3501, 61317.0712
-1446.1670, 104859.0325
-1445.9839, 36713.1326
-1445.8008, 42051.1417
-1445.6177, 27156.1298
-1445.4346, 20110.7654
-1445.2515, 73209.4736
-1445.0684, 56753.5401
-1444.8853, 82428.3567
-1444.7021, 45438.3090
-1444.5190, 88514.4742
-1444.3359, 25863.4017
-1444.1528, 94347.4835
-1443.9697, 46268.3564
-1443.7866, 42005.2031
-1443.6035, 34729.0250
-1443.4204, 28915.4459
-1443.2373, 47496.2755
-1443.0542, 97509.2673
-1442.8711, 91877.9513
-1442.6880, 65080.8501
-1442.5049, 8262.9668
-1442.3218, 44299.1444
-1442.1387, 50185.4664
-1441.9556, 41785.5167
-1441.7725, 26593.5771
-1441.5894, 31403.7923
-1441.4062, 35915.3320
-1441.2231, 74196.6919
-1441.0400, 89966.6238
-1440.8569, 36468.0838
-1440.6738, 108254.8698
-1440.4907, 91375.0975
-1440.3076, 33552.6746
-1440.1245, 31498.4352
-1439.9414, 7843.5541
-1439.7583, 44344.6138
-1439.5752, 39563.1528
-1439.3921, 45559.5707
-1439.2090, 46902.1752
-1439.0259, 49819.6807
-1438.8428, 37361.4741
-1438.6597, 23601.6693
-1438.4766, 45110.2150
-1438.2935, 57882.8252
-1438.1104, 62509.8499
-1437.9272, 26502.7108
-1437.7441, 52709.1822
-1437.5610, 62486.1830
-1437.3779, 13038.1250
-1437.1948, 20492.0937
-1437.0117, 1043.1889
-1436.8286, 20847.5564
-1436.6455, 74144.4864
-1436.4624, 17194.3497
-1436.2793, 63723.4596
-1436.0962, 58934.2205
-1435.9131, 37096.4653
-1435.7300, 48454.2603
-1435.5469, 11686.9047
-1435.3638, 81402.6829
-1435.1807, 9755.4771
-1434.9976, 29480.7576
-1434.8145, 46191.6629
-1434.6313, 42439.0923
-1434.4482, 40843.8251
-1434.2651, 50777.5807
-1434.0820, 10842.0265
-1433.8989, 53093.0375
-1433.7158, 47927.5948
-1433.5327, 22724.9663
-1433.3496, 36961.9572
-1433.1665, 30169.8741
-1432.9834, 39899.7139
-1432.8003, 41279.5045
-1432.6172, 52111.3348
-1432.4341, 73637.2653
-1432.2510, 102639.8898
-1432.0679, 89784.4997
-1431.8848, 6769.6040
-1431.7017, 69393.0790
-1431.5186, 42099.8183
-1431.3354, 73283.5655
-1431.1523, 24635.1186
-1430.9692, 65462.1350
-1430.7861, 52431.1141
-1430.6030, 48587.1882
-1430.4199, 49740.8025
-1430.2368, 32475.4200
-1430.0537, 71372.7892
-1429.8706, 52541.4284
-1429.6875, 32676.8452
-1429.5044, 22825.2970
